Ticker,Quantity,Buy Price
GOLDBEES,4,43.8
NIFTYBEES,4,183.6475
JUNIORBEES,1,425.27
MID150BEES,6,112.65499999999999
NIF100IETF,1,186.8
TRITURBINE,22,500.9818181818182
TDPOWERSYS,54,272.82037037037037
SHAKTIPUMP,14,1335.6714285714286
SANGHVIMOV,24,1174.8425
PRAJIND,28,527.0875
PITTIENG,25,754.378
PENIND,89,123.48876404494382
IONEXCHANG,37,496.44594594594594
BORORENEW,29,502.97068965517235
TECHNOE,23,658.9495652173913
GENUSPOWER,49,225.51020408163265
BBL,3,5406
SKIPPER,71,258.9281690140845
SBCL,56,537.1957142857143
KPITTECH,11,1351.6000000000001
FIEMIND,18,1042.1583333333333
LIQUIDBEES,39,1000.0082051282051
KSB,5,3743.69
GANECOS,24,946.5779166666666
INOXWIND,23,469.69565217391306
HPL,23,307.88260869565215
